,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score,,Category,positive,negative,neutral,,,,,,
1360,5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,intrigued,3/2/2021 2:51,video,science,positive,45,,,,,,,,,,,
1364,e442899c-d2d6-4392-be2d-a0b916ae47fb,intrigued,12/3/2021 12:45,video,technology,positive,45,,,,,,,,,,,
1365,e442899c-d2d6-4392-be2d-a0b916ae47fb,super love,12/11/2020 18:27,video,technology,positive,75,,,,,,,,,,,
1367,e442899c-d2d6-4392-be2d-a0b916ae47fb,like,27/1/21 7:41,video,technology,positive,50,,,,,,,,,,,
1368,e442899c-d2d6-4392-be2d-a0b916ae47fb,like,7/3/2021 0:08,video,technology,positive,50,,,,,,,,,,,
1369,e442899c-d2d6-4392-be2d-a0b916ae47fb,cherish,9/12/2020 11:46,video,technology,positive,70,,,,,,,,,,,
1370,e442899c-d2d6-4392-be2d-a0b916ae47fb,heart,24/8/20 22:36,video,technology,positive,60,,,,,,,,,,,
1373,e442899c-d2d6-4392-be2d-a0b916ae47fb,want,18/8/20 11:48,video,technology,positive,70,,,,,,,,,,,
1376,e442899c-d2d6-4392-be2d-a0b916ae47fb,want,25/8/20 20:49,video,technology,positive,70,,,,,,,,,,,
1378,e442899c-d2d6-4392-be2d-a0b916ae47fb,adore,26/5/21 20:48,video,technology,positive,72,,,,,,,,,,,
1379,e442899c-d2d6-4392-be2d-a0b916ae47fb,want,17/3/21 1:02,video,technology,positive,70,,,,,,,,,,,
1383,e442899c-d2d6-4392-be2d-a0b916ae47fb,super love,17/12/20 14:19,video,technology,positive,75,,,,,,,,,,,
1384,daab7b1a-fc8d-473e-bbf3-b29f4185ae56,interested,17/1/21 9:47,video,science,positive,30,,,,,,,,,,,
1385,daab7b1a-fc8d-473e-bbf3-b29f4185ae56,want,16/12/20 20:35,video,science,positive,70,,,,,,,,,,,
1386,daab7b1a-fc8d-473e-bbf3-b29f4185ae56,heart,4/2/2021 0:01,video,science,positive,60,,,,,,,,,,,
1392,daab7b1a-fc8d-473e-bbf3-b29f4185ae56,want,2/9/2020 4:42,video,science,positive,70,,,,,,,,,,,
1395,daab7b1a-fc8d-473e-bbf3-b29f4185ae56,intrigued,14/7/20 23:28,video,science,positive,45,,,,,,,,,,,
1396,daab7b1a-fc8d-473e-bbf3-b29f4185ae56,interested,7/7/2020 2:23,video,science,positive,30,,,,,,,,,,,
1399,daab7b1a-fc8d-473e-bbf3-b29f4185ae56,cherish,23/10/20 11:51,video,science,positive,70,,,,,,,,,,,
1401,daab7b1a-fc8d-473e-bbf3-b29f4185ae56,like,27/2/21 15:13,video,science,positive,50,,,,,,,,,,,
1404,82145a60-013e-4d96-81a5-399af8618158,adore,29/12/20 6:36,audio,food,positive,72,,,,,,,,,,,
1405,82145a60-013e-4d96-81a5-399af8618158,adore,29/7/20 15:09,audio,food,positive,72,,,,,,,,,,,
1408,82145a60-013e-4d96-81a5-399af8618158,intrigued,21/4/21 16:18,audio,food,positive,45,,,,,,,,,,,
1409,82145a60-013e-4d96-81a5-399af8618158,super love,5/2/2021 12:11,audio,food,positive,75,,,,,,,,,,,
1410,82145a60-013e-4d96-81a5-399af8618158,adore,21/1/21 15:37,audio,food,positive,72,,,,,,,,,,,
1416,82145a60-013e-4d96-81a5-399af8618158,cherish,21/8/20 19:48,audio,food,positive,70,,,,,,,,,,,
1417,82145a60-013e-4d96-81a5-399af8618158,interested,16/3/21 14:26,audio,food,positive,30,,,,,,,,,,,
1420,82145a60-013e-4d96-81a5-399af8618158,super love,16/10/20 22:38,audio,food,positive,75,,,,,,,,,,,
1422,82145a60-013e-4d96-81a5-399af8618158,interested,22/9/20 19:51,audio,food,positive,30,,,,,,,,,,,
1424,82145a60-013e-4d96-81a5-399af8618158,like,17/7/20 22:08,audio,food,positive,50,,,,,,,,,,,
1428,82145a60-013e-4d96-81a5-399af8618158,super love,21/7/20 3:32,audio,food,positive,75,,,,,,,,,,,
1438,d852b946-01e1-44fe-abd7-26198660cbdb,heart,5/5/2021 22:54,GIF,food,positive,60,,,,,,,,,,,
1440,d852b946-01e1-44fe-abd7-26198660cbdb,adore,8/11/2020 1:04,GIF,food,positive,72,,,,,,,,,,,
1443,d852b946-01e1-44fe-abd7-26198660cbdb,cherish,12/8/2020 22:52,GIF,food,positive,70,,,,,,,,,,,
1444,d852b946-01e1-44fe-abd7-26198660cbdb,cherish,24/3/21 20:12,GIF,food,positive,70,,,,,,,,,,,
1445,d852b946-01e1-44fe-abd7-26198660cbdb,super love,29/6/20 15:40,GIF,food,positive,75,,,,,,,,,,,
1446,d852b946-01e1-44fe-abd7-26198660cbdb,super love,12/2/2021 4:04,GIF,food,positive,75,,,,,,,,,,,
1448,c59e27e9-0439-4699-8ea0-5e93f662a05d,adore,2/2/2021 15:29,GIF,fitness,positive,72,,,,,,,,,,,
1451,78713905-362f-4a87-9671-adab5f1e0e67,love,30/1/21 12:11,audio,dogs,positive,65,,,,,,,,,,,
1454,78713905-362f-4a87-9671-adab5f1e0e67,super love,24/1/21 4:05,audio,dogs,positive,75,,,,,,,,,,,
1455,78713905-362f-4a87-9671-adab5f1e0e67,intrigued,3/1/2021 16:13,audio,dogs,positive,45,,,,,,,,,,,
1456,78713905-362f-4a87-9671-adab5f1e0e67,heart,27/9/20 7:20,audio,dogs,positive,60,,,,,,,,,,,
1457,78713905-362f-4a87-9671-adab5f1e0e67,heart,20/6/20 12:57,audio,dogs,positive,60,,,,,,,,,,,
1458,78713905-362f-4a87-9671-adab5f1e0e67,love,23/7/20 10:54,audio,dogs,positive,65,,,,,,,,,,,
1459,78713905-362f-4a87-9671-adab5f1e0e67,like,24/2/21 16:29,audio,dogs,positive,50,,,,,,,,,,,
1461,78713905-362f-4a87-9671-adab5f1e0e67,adore,10/9/2020 5:43,audio,dogs,positive,72,,,,,,,,,,,
1463,78713905-362f-4a87-9671-adab5f1e0e67,like,16/3/21 2:53,audio,dogs,positive,50,,,,,,,,,,,
1464,78713905-362f-4a87-9671-adab5f1e0e67,adore,10/2/2021 0:11,audio,dogs,positive,72,,,,,,,,,,,
1467,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,interested,3/7/2020 9:49,GIF,healthy eating,positive,30,,,,,,,,,,,
1470,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,want,30/4/21 22:23,GIF,healthy eating,positive,70,,,,,,,,,,,
1472,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,intrigued,27/9/20 17:41,GIF,healthy eating,positive,45,,,,,,,,,,,
1473,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,adore,11/10/2020 19:59,GIF,healthy eating,positive,72,,,,,,,,,,,
1475,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,interested,23/1/21 23:12,GIF,healthy eating,positive,30,,,,,,,,,,,
1478,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,intrigued,27/9/20 1:57,GIF,healthy eating,positive,45,,,,,,,,,,,
1480,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,want,11/12/2020 8:19,GIF,healthy eating,positive,70,,,,,,,,,,,
1481,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,heart,5/10/2020 1:52,GIF,healthy eating,positive,60,,,,,,,,,,,
1482,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,interested,12/6/2021 5:57,GIF,healthy eating,positive,30,,,,,,,,,,,
1483,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,interested,18/6/20 11:38,GIF,healthy eating,positive,30,,,,,,,,,,,
1484,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,heart,25/6/20 5:17,GIF,healthy eating,positive,60,,,,,,,,,,,
1485,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,heart,24/6/20 21:24,GIF,healthy eating,positive,60,,,,,,,,,,,
1486,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,adore,22/6/20 13:05,GIF,healthy eating,positive,72,,,,,,,,,,,
1487,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,intrigued,6/3/2021 5:51,GIF,healthy eating,positive,45,,,,,,,,,,,
1499,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,super love,8/7/2020 10:33,GIF,healthy eating,positive,75,,,,,,,,,,,
1501,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,super love,20/7/20 14:40,GIF,healthy eating,positive,75,,,,,,,,,,,
1502,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,like,9/12/2020 18:08,GIF,healthy eating,positive,50,,,,,,,,,,,
1503,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,like,22/4/21 21:28,GIF,healthy eating,positive,50,,,,,,,,,,,
1504,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,like,25/6/20 1:25,GIF,healthy eating,positive,50,,,,,,,,,,,
1505,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,heart,28/12/20 10:15,GIF,healthy eating,positive,60,,,,,,,,,,,
1506,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,cherish,26/9/20 20:12,GIF,healthy eating,positive,70,,,,,,,,,,,
1507,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,cherish,23/11/20 23:23,video,culture,positive,70,,,,,,,,,,,
1510,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,interested,3/1/2021 5:06,video,culture,positive,30,,,,,,,,,,,
1512,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,super love,28/4/21 4:25,video,culture,positive,75,,,,,,,,,,,
1515,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,love,6/8/2020 13:05,video,culture,positive,65,,,,,,,,,,,
1516,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,love,5/9/2020 13:40,video,culture,positive,65,,,,,,,,,,,
1517,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,adore,17/11/20 22:30,video,culture,positive,72,,,,,,,,,,,
1519,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,love,7/8/2020 18:37,video,culture,positive,65,,,,,,,,,,,
1520,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,super love,3/9/2020 2:48,video,culture,positive,75,,,,,,,,,,,
1521,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,like,3/3/2021 11:50,video,culture,positive,50,,,,,,,,,,,
1522,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,adore,21/11/20 19:43,video,culture,positive,72,,,,,,,,,,,
1523,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,heart,13/1/21 12:01,video,culture,positive,60,,,,,,,,,,,
1526,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,cherish,1/4/2021 3:57,video,culture,positive,70,,,,,,,,,,,
1528,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,want,12/6/2021 12:35,video,culture,positive,70,,,,,,,,,,,
1529,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,want,4/6/2021 6:51,video,culture,positive,70,,,,,,,,,,,
1530,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,super love,1/6/2021 10:13,video,culture,positive,75,,,,,,,,,,,
1532,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,intrigued,20/7/20 11:51,video,culture,positive,45,,,,,,,,,,,
1535,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,like,11/8/2020 0:46,video,culture,positive,50,,,,,,,,,,,
1540,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,intrigued,27/6/20 11:08,video,culture,positive,45,,,,,,,,,,,
1541,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,cherish,26/9/20 21:14,video,culture,positive,70,,,,,,,,,,,
1544,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,intrigued,25/7/20 9:28,GIF,soccer,positive,45,,,,,,,,,,,
1547,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,intrigued,19/11/20 22:02,GIF,soccer,positive,45,,,,,,,,,,,
1548,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,intrigued,17/9/20 11:30,GIF,soccer,positive,45,,,,,,,,,,,
1549,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,want,11/2/2021 0:15,GIF,soccer,positive,70,,,,,,,,,,,
1550,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,love,22/9/20 16:59,GIF,soccer,positive,65,,,,,,,,,,,
1551,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,interested,19/11/20 2:03,GIF,soccer,positive,30,,,,,,,,,,,
1553,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,intrigued,4/1/2021 12:16,GIF,soccer,positive,45,,,,,,,,,,,
1554,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,want,5/6/2021 7:34,GIF,soccer,positive,70,,,,,,,,,,,
1555,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,interested,21/12/20 17:41,GIF,soccer,positive,30,,,,,,,,,,,
1556,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,intrigued,1/12/2020 2:45,GIF,soccer,positive,45,,,,,,,,,,,
1558,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,love,5/10/2020 8:54,GIF,soccer,positive,65,,,,,,,,,,,
1560,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,super love,27/6/20 6:28,GIF,soccer,positive,75,,,,,,,,,,,
1561,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,super love,12/4/2021 19:27,GIF,soccer,positive,75,,,,,,,,,,,
1564,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,like,29/8/20 14:26,GIF,soccer,positive,50,,,,,,,,,,,
1565,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,interested,23/12/20 7:13,GIF,soccer,positive,30,,,,,,,,,,,
1566,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,interested,22/9/20 4:48,GIF,soccer,positive,30,,,,,,,,,,,
1567,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,interested,23/10/20 1:01,GIF,soccer,positive,30,,,,,,,,,,,
1572,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,interested,6/5/2021 14:56,GIF,soccer,positive,30,,,,,,,,,,,
1574,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,cherish,25/3/21 4:33,GIF,soccer,positive,70,,,,,,,,,,,
1575,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,adore,16/6/21 8:16,GIF,soccer,positive,72,,,,,,,,,,,
1576,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,cherish,10/4/2021 22:12,GIF,soccer,positive,70,,,,,,,,,,,
1578,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,intrigued,19/10/20 21:32,GIF,soccer,positive,45,,,,,,,,,,,
1579,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,cherish,20/5/21 4:14,GIF,soccer,positive,70,,,,,,,,,,,
1580,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,interested,19/8/20 21:53,GIF,soccer,positive,30,,,,,,,,,,,
1581,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,intrigued,17/3/21 0:43,GIF,soccer,positive,45,,,,,,,,,,,
1582,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,super love,2/8/2020 7:58,GIF,soccer,positive,75,,,,,,,,,,,
1584,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,intrigued,5/3/2021 17:00,GIF,soccer,positive,45,,,,,,,,,,,
1585,026973ef-4b73-4901-9160-bc9e04516057,interested,17/4/21 4:47,audio,culture,positive,30,,,,,,,,,,,
1586,026973ef-4b73-4901-9160-bc9e04516057,heart,19/12/20 12:17,audio,culture,positive,60,,,,,,,,,,,
1587,026973ef-4b73-4901-9160-bc9e04516057,love,27/11/20 3:06,audio,culture,positive,65,,,,,,,,,,,
1588,026973ef-4b73-4901-9160-bc9e04516057,want,7/1/2021 10:24,audio,culture,positive,70,,,,,,,,,,,
1589,026973ef-4b73-4901-9160-bc9e04516057,interested,21/8/20 13:35,audio,culture,positive,30,,,,,,,,,,,
1590,026973ef-4b73-4901-9160-bc9e04516057,super love,6/10/2020 9:10,audio,culture,positive,75,,,,,,,,,,,
1591,026973ef-4b73-4901-9160-bc9e04516057,want,7/10/2020 18:13,audio,culture,positive,70,,,,,,,,,,,
1593,026973ef-4b73-4901-9160-bc9e04516057,love,2/4/2021 7:27,audio,culture,positive,65,,,,,,,,,,,
1595,026973ef-4b73-4901-9160-bc9e04516057,interested,14/3/21 5:40,audio,culture,positive,30,,,,,,,,,,,
1596,026973ef-4b73-4901-9160-bc9e04516057,want,10/4/2021 15:19,audio,culture,positive,70,,,,,,,,,,,
1597,026973ef-4b73-4901-9160-bc9e04516057,intrigued,30/5/21 8:54,audio,culture,positive,45,,,,,,,,,,,
1598,026973ef-4b73-4901-9160-bc9e04516057,heart,16/3/21 15:52,audio,culture,positive,60,,,,,,,,,,,
1599,026973ef-4b73-4901-9160-bc9e04516057,like,1/11/2020 5:54,audio,culture,positive,50,,,,,,,,,,,
1600,026973ef-4b73-4901-9160-bc9e04516057,love,22/3/21 15:50,audio,culture,positive,65,,,,,,,,,,,
1601,026973ef-4b73-4901-9160-bc9e04516057,intrigued,31/10/20 7:30,audio,culture,positive,45,,,,,,,,,,,
1602,026973ef-4b73-4901-9160-bc9e04516057,adore,14/10/20 7:33,audio,culture,positive,72,,,,,,,,,,,
1603,026973ef-4b73-4901-9160-bc9e04516057,interested,23/11/20 13:56,audio,culture,positive,30,,,,,,,,,,,
1605,026973ef-4b73-4901-9160-bc9e04516057,interested,21/12/20 16:29,audio,culture,positive,30,,,,,,,,,,,
1606,026973ef-4b73-4901-9160-bc9e04516057,heart,19/12/20 23:12,audio,culture,positive,60,,,,,,,,,,,
1607,026973ef-4b73-4901-9160-bc9e04516057,adore,20/10/20 13:38,audio,culture,positive,72,,,,,,,,,,,
1608,026973ef-4b73-4901-9160-bc9e04516057,like,24/5/21 13:11,audio,culture,positive,50,,,,,,,,,,,
1611,026973ef-4b73-4901-9160-bc9e04516057,adore,7/6/2021 7:05,audio,culture,positive,72,,,,,,,,,,,
1615,026973ef-4b73-4901-9160-bc9e04516057,interested,30/9/20 6:52,audio,culture,positive,30,,,,,,,,,,,
1616,026973ef-4b73-4901-9160-bc9e04516057,super love,22/9/20 20:24,audio,culture,positive,75,,,,,,,,,,,
1619,026973ef-4b73-4901-9160-bc9e04516057,cherish,16/1/21 16:51,audio,culture,positive,70,,,,,,,,,,,
1620,026973ef-4b73-4901-9160-bc9e04516057,want,29/5/21 19:52,audio,culture,positive,70,,,,,,,,,,,
1621,f08bdab2-b888-484e-8fd9-919e6ed86c12,cherish,21/1/21 5:51,audio,education,positive,70,,,,,,,,,,,
1623,f08bdab2-b888-484e-8fd9-919e6ed86c12,heart,17/7/20 7:24,audio,education,positive,60,,,,,,,,,,,
1624,f08bdab2-b888-484e-8fd9-919e6ed86c12,want,1/10/2020 6:49,audio,education,positive,70,,,,,,,,,,,
1626,f08bdab2-b888-484e-8fd9-919e6ed86c12,want,24/6/20 2:21,audio,education,positive,70,,,,,,,,,,,
1627,f08bdab2-b888-484e-8fd9-919e6ed86c12,intrigued,27/11/20 14:14,audio,education,positive,45,,,,,,,,,,,
1628,f08bdab2-b888-484e-8fd9-919e6ed86c12,heart,18/3/21 8:05,audio,education,positive,60,,,,,,,,,,,
1630,f08bdab2-b888-484e-8fd9-919e6ed86c12,interested,4/1/2021 13:47,audio,education,positive,30,,,,,,,,,,,
1631,f08bdab2-b888-484e-8fd9-919e6ed86c12,love,15/1/21 17:51,audio,education,positive,65,,,,,,,,,,,
1633,f08bdab2-b888-484e-8fd9-919e6ed86c12,adore,31/10/20 19:23,audio,education,positive,72,,,,,,,,,,,
1634,f08bdab2-b888-484e-8fd9-919e6ed86c12,super love,22/8/20 6:23,audio,education,positive,75,,,,,,,,,,,
1636,f08bdab2-b888-484e-8fd9-919e6ed86c12,love,15/8/20 9:23,audio,education,positive,65,,,,,,,,,,,
1639,f08bdab2-b888-484e-8fd9-919e6ed86c12,cherish,22/3/21 3:23,audio,education,positive,70,,,,,,,,,,,
1640,f08bdab2-b888-484e-8fd9-919e6ed86c12,love,31/7/20 7:08,audio,education,positive,65,,,,,,,,,,,
1643,f08bdab2-b888-484e-8fd9-919e6ed86c12,like,2/9/2020 20:54,audio,education,positive,50,,,,,,,,,,,
1644,f08bdab2-b888-484e-8fd9-919e6ed86c12,heart,30/5/21 14:23,audio,education,positive,60,,,,,,,,,,,
1645,f08bdab2-b888-484e-8fd9-919e6ed86c12,heart,14/4/21 20:19,audio,education,positive,60,,,,,,,,,,,
1647,f08bdab2-b888-484e-8fd9-919e6ed86c12,heart,2/4/2021 1:09,audio,education,positive,60,,,,,,,,,,,
1650,f08bdab2-b888-484e-8fd9-919e6ed86c12,cherish,14/7/20 4:18,audio,education,positive,70,,,,,,,,,,,
1655,f08bdab2-b888-484e-8fd9-919e6ed86c12,interested,5/1/2021 16:22,audio,education,positive,30,,,,,,,,,,,
1656,f08bdab2-b888-484e-8fd9-919e6ed86c12,love,17/4/21 18:23,audio,education,positive,65,,,,,,,,,,,
1657,f08bdab2-b888-484e-8fd9-919e6ed86c12,like,2/1/2021 19:46,audio,education,positive,50,,,,,,,,,,,
1658,f08bdab2-b888-484e-8fd9-919e6ed86c12,adore,25/2/21 17:02,audio,education,positive,72,,,,,,,,,,,
1660,f08bdab2-b888-484e-8fd9-919e6ed86c12,like,21/9/20 5:01,audio,education,positive,50,,,,,,,,,,,
1661,f08bdab2-b888-484e-8fd9-919e6ed86c12,super love,10/4/2021 20:57,audio,education,positive,75,,,,,,,,,,,
1662,f08bdab2-b888-484e-8fd9-919e6ed86c12,super love,14/9/20 6:07,audio,education,positive,75,,,,,,,,,,,
1664,f08bdab2-b888-484e-8fd9-919e6ed86c12,adore,7/2/2021 15:53,audio,education,positive,72,,,,,,,,,,,
1665,f08bdab2-b888-484e-8fd9-919e6ed86c12,cherish,23/9/20 8:59,audio,education,positive,70,,,,,,,,,,,
1666,f08bdab2-b888-484e-8fd9-919e6ed86c12,interested,18/9/20 1:17,audio,education,positive,30,,,,,,,,,,,
1667,f08bdab2-b888-484e-8fd9-919e6ed86c12,adore,9/12/2020 12:23,audio,education,positive,72,,,,,,,,,,,
1668,a55b215b-06c5-4ef3-ac14-7e1569c3ad2e,intrigued,25/7/20 9:08,GIF,education,positive,45,,,,,,,,,,,
1669,a55b215b-06c5-4ef3-ac14-7e1569c3ad2e,adore,24/2/21 15:42,GIF,education,positive,72,,,,,,,,,,,
1671,258bb775-3c35-4eec-90f3-8b75a52e466a,super love,5/11/2020 16:46,photo,education,positive,75,,,,,,,,,,,
1672,258bb775-3c35-4eec-90f3-8b75a52e466a,adore,12/3/2021 22:52,photo,education,positive,72,,,,,,,,,,,
1673,258bb775-3c35-4eec-90f3-8b75a52e466a,super love,17/1/21 14:50,photo,education,positive,75,,,,,,,,,,,
1674,258bb775-3c35-4eec-90f3-8b75a52e466a,intrigued,5/11/2020 11:22,photo,education,positive,45,,,,,,,,,,,
1675,258bb775-3c35-4eec-90f3-8b75a52e466a,super love,9/10/2020 20:54,photo,education,positive,75,,,,,,,,,,,
1676,258bb775-3c35-4eec-90f3-8b75a52e466a,intrigued,26/2/21 1:20,photo,education,positive,45,,,,,,,,,,,
1677,258bb775-3c35-4eec-90f3-8b75a52e466a,adore,27/7/20 3:21,photo,education,positive,72,,,,,,,,,,,
1678,258bb775-3c35-4eec-90f3-8b75a52e466a,heart,12/8/2020 18:16,photo,education,positive,60,,,,,,,,,,,
1681,258bb775-3c35-4eec-90f3-8b75a52e466a,adore,29/4/21 7:44,photo,education,positive,72,,,,,,,,,,,
1682,258bb775-3c35-4eec-90f3-8b75a52e466a,adore,25/5/21 3:50,photo,education,positive,72,,,,,,,,,,,
1683,258bb775-3c35-4eec-90f3-8b75a52e466a,heart,17/8/20 21:09,photo,education,positive,60,,,,,,,,,,,
1685,258bb775-3c35-4eec-90f3-8b75a52e466a,intrigued,15/5/21 18:50,photo,education,positive,45,,,,,,,,,,,
1686,258bb775-3c35-4eec-90f3-8b75a52e466a,like,5/12/2020 13:29,photo,education,positive,50,,,,,,,,,,,
1688,258bb775-3c35-4eec-90f3-8b75a52e466a,heart,29/10/20 23:33,photo,education,positive,60,,,,,,,,,,,
1689,258bb775-3c35-4eec-90f3-8b75a52e466a,super love,5/11/2020 7:08,photo,education,positive,75,,,,,,,,,,,
1690,258bb775-3c35-4eec-90f3-8b75a52e466a,intrigued,29/4/21 7:54,photo,education,positive,45,,,,,,,,,,,
1693,258bb775-3c35-4eec-90f3-8b75a52e466a,like,1/10/2020 8:21,photo,education,positive,50,,,,,,,,,,,
1696,258bb775-3c35-4eec-90f3-8b75a52e466a,like,25/10/20 23:08,photo,education,positive,50,,,,,,,,,,,
1697,258bb775-3c35-4eec-90f3-8b75a52e466a,adore,11/7/2020 23:08,photo,education,positive,72,,,,,,,,,,,
1698,258bb775-3c35-4eec-90f3-8b75a52e466a,love,10/5/2021 7:25,photo,education,positive,65,,,,,,,,,,,
1699,258bb775-3c35-4eec-90f3-8b75a52e466a,love,18/10/20 18:33,photo,education,positive,65,,,,,,,,,,,
1701,258bb775-3c35-4eec-90f3-8b75a52e466a,intrigued,12/6/2021 20:42,photo,education,positive,45,,,,,,,,,,,
1702,258bb775-3c35-4eec-90f3-8b75a52e466a,want,12/6/2021 19:31,photo,education,positive,70,,,,,,,,,,,
1704,258bb775-3c35-4eec-90f3-8b75a52e466a,super love,22/6/20 11:05,photo,education,positive,75,,,,,,,,,,,
1705,258bb775-3c35-4eec-90f3-8b75a52e466a,cherish,29/1/21 20:19,photo,education,positive,70,,,,,,,,,,,
1707,258bb775-3c35-4eec-90f3-8b75a52e466a,adore,18/9/20 16:25,photo,education,positive,72,,,,,,,,,,,
1711,258bb775-3c35-4eec-90f3-8b75a52e466a,interested,5/11/2020 14:26,photo,education,positive,30,,,,,,,,,,,
1713,258bb775-3c35-4eec-90f3-8b75a52e466a,interested,13/1/21 14:23,photo,education,positive,30,,,,,,,,,,,
1716,8d32243c-2dd1-4128-bde1-d643207e582c,super love,12/9/2020 5:58,photo,studying,positive,75,,,,,,,,,,,
1718,8d32243c-2dd1-4128-bde1-d643207e582c,love,8/2/2021 7:38,photo,studying,positive,65,,,,,,,,,,,
1719,8d32243c-2dd1-4128-bde1-d643207e582c,like,16/11/20 19:14,photo,studying,positive,50,,,,,,,,,,,
1720,8d32243c-2dd1-4128-bde1-d643207e582c,interested,9/12/2020 1:01,photo,studying,positive,30,,,,,,,,,,,
1721,8d32243c-2dd1-4128-bde1-d643207e582c,super love,9/9/2020 1:00,photo,studying,positive,75,,,,,,,,,,,
1723,8d32243c-2dd1-4128-bde1-d643207e582c,want,13/9/20 20:07,photo,studying,positive,70,,,,,,,,,,,
1724,8d32243c-2dd1-4128-bde1-d643207e582c,heart,14/9/20 11:25,photo,studying,positive,60,,,,,,,,,,,
1727,8d32243c-2dd1-4128-bde1-d643207e582c,heart,13/9/20 17:03,photo,studying,positive,60,,,,,,,,,,,
1728,8d32243c-2dd1-4128-bde1-d643207e582c,interested,23/8/20 14:28,photo,studying,positive,30,,,,,,,,,,,
1731,8d32243c-2dd1-4128-bde1-d643207e582c,cherish,5/7/2020 0:49,photo,studying,positive,70,,,,,,,,,,,
1732,8d32243c-2dd1-4128-bde1-d643207e582c,heart,31/7/20 9:20,photo,studying,positive,60,,,,,,,,,,,
